Spotify ID,Artist IDs,Track Name,Album Name,Artist Names,Release Date,Duration,Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0CF1X2oxbHWyFNPG2CPeNX,"5xLSa7l4IV1gsQfhAMvl0U,0hEurMDQu99nJRq8pTxO14",Hummingbird,B.B. King & Friends - 80,"B.B. King,John Mayer",2005-01-01,280546,46,spotify:user:,1970-01-01T00:00:00Z,"blues,blues rock,classic rock,electric blues,jazz blues,soul blues,traditional blues,neo mellow,singer-songwriter",0.53,0.593,0,-9.2,0,0.0382,0.533,0.0000478,0.0446,0.647,162.335,4
64BbK9SFKH2jk86U3dGj2P,0L8ExT028jH3ddEcZwqJJ5,Otherside,Californication (Deluxe Edition),Red Hot Chili Peppers,1999-06-08,255373,80,spotify:user:,1970-01-01T00:00:00Z,"alternative rock,funk metal,funk rock,permanent wave",0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,4
42T2QQv3xgBlpQxaSP7lnK,43sZBwHjahUvgbx1WNIkIz,One Last Breath,Weathered,Creed,2001-01-01,238240,72,spotify:user:,1970-01-01T00:00:00Z,"alternative metal,nu metal,pop rock,post-grunge,rock",0.386,0.677,2,-5.83,1,0.0346,0.00841,0.00366,0.341,0.195,126.602,4
44ONERBHALxftQNWq6dmyd,"66CXWjxzNUsdJxJ2JdwvnR,0hCNtLu0JehylgoiP8L4Gh",Side To Side,Dangerous Woman,"Ariana Grande,Nicki Minaj",2016-04-01,226160,76,spotify:user:,1970-01-01T00:00:00Z,"dance pop,pop,hip pop,queens hip hop,rap",0.65,0.736,6,-5.84,0,0.229,0.0513,0,0.235,0.612,159.174,4
77Y57qRJBvkGCUw9qs0qMg,0hEurMDQu99nJRq8pTxO14,In the Blood,The Search for Everything,John Mayer,2017-04-14,243666,61,spotify:user:,1970-01-01T00:00:00Z,"neo mellow,singer-songwriter",0.546,0.655,8,-6.526,1,0.0255,0.386,0.0000104,0.0983,0.518,80.007,4
37o0LxdGxiF3chjxjwJwBD,0L8ExT028jH3ddEcZwqJJ5,Whatchu Thinkin',Unlimited Love,Red Hot Chili Peppers,2022-04-01,220905,55,spotify:user:,1970-01-01T00:00:00Z,"alternative rock,funk metal,funk rock,permanent wave",0.616,0.582,11,-5.332,0,0.0702,0.0115,0.00024,0.098,0.829,171.259,4
2SLwbpExuoBDZBpjfefCtV,1Xyo4u8uXC1ZmMpatF05PJ,Out of Time,Dawn FM,The Weeknd,2022-01-06,214193,83,spotify:user:,1970-01-01T00:00:00Z,"canadian contemporary r&b,canadian pop,pop",0.65,0.76,0,-4.422,0,0.0446,0.255,0,0.339,0.838,93.057,4
3x3zdepy3au5Uo81WIA9MG,7rN3Agir6FaZNfhf5V7mfN,The Will To Death,The Will To Death,John Frusciante,2004,228426,50,spotify:user:,1970-01-01T00:00:00Z,"acoustic rock,alternative rock,rock",0.498,0.113,6,-16.097,0,0.0333,0.691,0.000287,0.108,0.296,168.383,4
1aiDlPLPljMFUylWjMZras,0hEurMDQu99nJRq8pTxO14,Something Like Olivia,Born and Raised,John Mayer,2012-05-18,180626,61,spotify:user:,1970-01-01T00:00:00Z,"neo mellow,singer-songwriter",0.771,0.424,7,-12.156,1,0.0374,0.595,0.000372,0.0788,0.638,98.795,4
3ZOEytgrvLwQaqXreDs2Jx,0L8ExT028jH3ddEcZwqJJ5,Can't Stop,By the Way (Deluxe Edition),Red Hot Chili Peppers,2002-07-09,269000,81,spotify:user:,1970-01-01T00:00:00Z,"alternative rock,funk metal,funk rock,permanent wave",0.618,0.938,9,-3.442,1,0.0456,0.0179,0,0.167,0.875,91.455,4
5QpaGzWp0hwB5faV8dkbAz,5aMmmNxw4vgpc5XC6hK0zp,Wherever You Will Go,Camino Palmero,The Calling,2001,208600,74,spotify:user:,1970-01-01T00:00:00Z,"neo mellow,pop rock",0.558,0.719,2,-5.113,1,0.0267,0.0367,0,0.115,0.371,112.027,4
2a0WwSvmFdXPTdDMilPA1y,7rN3Agir6FaZNfhf5V7mfN,Song To Sing When I'm Lonely,Shadows Collide With People,John Frusciante,2004-02-24,195213,53,spotify:user:,1970-01-01T00:00:00Z,"acoustic rock,alternative rock,rock",0.629,0.673,6,-4.379,1,0.0262,0.294,0.0109,0.139,0.419,114.243,4
3VgYGwa03GGyYwKjHtJqrQ,"14RXohtx6NiBGFTW8IdmAK,0hEurMDQu99nJRq8pTxO14",I Don't Need No Doctor,That's What I Say (Int'l Online/Yahoo Exclusive),"John Scofield,John Mayer",2005-01-01,269840,44,spotify:user:,1970-01-01T00:00:00Z,"contemporary jazz,jazz,jazz blues,jazz funk,jazz fusion,jazz guitar,soul jazz,neo mellow,singer-songwriter",0.663,0.545,11,-8.504,0,0.0733,0.502,0.031,0.0634,0.758,171.006,4
4ILJxejqqWk4y8oWsxYDtE,0L8ExT028jH3ddEcZwqJJ5,Poster Child,Poster Child,Red Hot Chili Peppers,2022-03-04,318421,50,spotify:user:,1970-01-01T00:00:00Z,"alternative rock,funk metal,funk rock,permanent wave",0.714,0.784,7,-5.423,1,0.0528,0.0467,0.00824,0.124,0.72,165.229,4
43sdRsmJFcSnlTWTVRhYtz,06nsZ3qSOYZ2hPVIMcr1IN,Magnolia,Naturally,J.J. Cale,1972,203960,57,spotify:user:,1970-01-01T00:00:00Z,"blues,blues rock,classic rock,country rock,folk,folk rock,mellow gold,rock,roots rock,singer-songwriter",0.707,0.175,0,-20.196,1,0.0455,0.302,0.254,0.109,0.442,74.233,4
1aL9518P5G72N92b48tuKw,6LEG9Ld1aLImEFEVHdWNSB,Summer High,Summer High,AP Dhillon,2022-08-05,177391,81,spotify:user:,1970-01-01T00:00:00Z,"punjabi hip hop,punjabi pop",0.86,0.541,1,-6.51,0,0.0325,0.165,0.163,0.0663,0.952,114.984,4
3jFP1e8IUpD9QbltEI1Hcg,0hEurMDQu99nJRq8pTxO14,My Stupid Mouth,Room For Squares,John Mayer,2001-08-16,223960,54,spotify:user:,1970-01-01T00:00:00Z,"neo mellow,singer-songwriter",0.608,0.603,2,-6.792,1,0.0271,0.0143,0.0000122,0.0833,0.49,88.824,4
1f2V8U1BiWaC9aJWmpOARe,0L8ExT028jH3ddEcZwqJJ5,By the Way,By the Way (Deluxe Edition),Red Hot Chili Peppers,2002-07-09,216933,75,spotify:user:,1970-01-01T00:00:00Z,"alternative rock,funk metal,funk rock,permanent wave",0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,4
5fVZC9GiM4e8vu99W0Xf6J,0zOcE3mg9nS6l3yxt1Y0bK,How to Save a Life,How To Save A Life,The Fray,2005-09-13,262533,80,spotify:user:,1970-01-01T00:00:00Z,"neo mellow,piano rock,pop,pop rock",0.64,0.743,10,-4.08,1,0.0379,0.269,0,0.101,0.361,122.035,4
7k3jpyYPnVnbO0p7iejWxL,5GnnSrwNCGyfAU4zuIytiS,Saadda Haq,Rockstar,Mohit Chauhan,2011-10-01,362662,57,spotify:user:,1970-01-01T00:00:00Z,"desi pop,filmi,modern bollywood",0.554,0.882,6,-5.018,0,0.0488,0.091,0.0000028,0.368,0.627,96.958,4
74O2ijHJxPd6FJMgL6A4aq,0hEurMDQu99nJRq8pTxO14,"Covered in Rain - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002",Any Given Thursday,John Mayer,2003-01-30,625173,42,spotify:user:,1970-01-01T00:00:00Z,"neo mellow,singer-songwriter",0.445,0.523,10,-9.854,1,0.0316,0.0462,0.28,0.878,0.549,137.96,4
4VnqpGitjmsIRNCnonQMzi,0L8ExT028jH3ddEcZwqJJ5,The Heavy Wing,Unlimited Love,Red Hot Chili Peppers,2022-04-01,331424,54,spotify:user:,1970-01-01T00:00:00Z,"alternative rock,funk metal,funk rock,permanent wave",0.406,0.782,2,-6.002,1,0.0461,0.00154,0.0493,0.0821,0.46,101.408,4
4ItljeeAXtHsnsnnQojaO2,36QJpDe2go2KgaRleHCDTp,D'yer Mak'er - Remaster,Houses of the Holy (Deluxe Edition),Led Zeppelin,1973-03-28,262748,65,spotify:user:,1970-01-01T00:00:00Z,"album rock,classic rock,hard rock,rock",0.525,0.929,9,-8.56,0,0.0784,0.262,0.000029,0.0754,0.556,163.503,4
6zAvNLJkdyRApUHnlJjKfO,3cKNppGLfcxdt9CtoHEZmQ,Jhoom - R&B Mix,Jhoom,Ali Zafar,2011-02-14,298986,73,spotify:user:,1970-01-01T00:00:00Z,"classic pakistani pop,desi pop,filmi,modern bollywood,pakistani pop,sufi",0.662,0.4,2,-11.2,1,0.0548,0.735,0.0000165,0.0863,0.617,79.972,4
601913bnwOH19HblKXMr2d,0hEurMDQu99nJRq8pTxO14,A Face To Call Home,Born and Raised,John Mayer,2012-05-18,285306,46,spotify:user:,1970-01-01T00:00:00Z,"neo mellow,singer-songwriter",0.529,0.375,2,-10.59,1,0.0247,0.305,0.0000329,0.0861,0.275,136.071,4
2dbA4sPwu3iK72c0mA6907,0L8ExT028jH3ddEcZwqJJ5,Bella,Return of the Dream Canteen,Red Hot Chili Peppers,2022-10-14,291346,64,spotify:user:,1970-01-01T00:00:00Z,"alternative rock,funk metal,funk rock,permanent wave",0.492,0.815,7,-5.499,0,0.0487,0.00643,0.00002,0.0875,0.812,171.379,4
3jxNbVmugKWFFc3YAVl0sD,"1wRPtKGflJrBx9BmLsSwlU,4YRxDV8wJFPHPTeXepOstw",Aabaad Barbaad,Ludo,"Pritam,Arijit Singh",2020-11-13,309103,62,spotify:user:,1970-01-01T00:00:00Z,"filmi,indian instrumental,modern bollywood,desi pop",0.626,0.522,7,-5.857,1,0.0317,0.686,0,0.41,0.628,118.001,4
0PNt5WTw092eED0ru9SuIp,0WwSkZ7LtFUFjGjMZBMt6T,Romeo And Juliet,Making Movies,Dire Straits,1980-10-17,360666,72,spotify:user:,1970-01-01T00:00:00Z,"album rock,classic rock,mellow gold,rock,soft rock",0.613,0.441,5,-11.999,1,0.0309,0.546,0.0132,0.0869,0.525,87.573,4
5KsLlcmWDoHUoJFzRw14wD,0hEurMDQu99nJRq8pTxO14,Rosie,The Search for Everything,John Mayer,2017-04-14,240626,59,spotify:user:,1970-01-01T00:00:00Z,"neo mellow,singer-songwriter",0.758,0.465,7,-6.547,1,0.0374,0.489,0.0000513,0.116,0.758,138.9,4
2aibwv5hGXSgw7Yru8IYTO,0L8ExT028jH3ddEcZwqJJ5,Snow (Hey Oh),Stadium Arcadium,Red Hot Chili Peppers,2006-05-09,334666,79,spotify:user:,1970-01-01T00:00:00Z,"alternative rock,funk metal,funk rock,permanent wave",0.427,0.9,11,-3.674,1,0.0499,0.116,0.0000175,0.119,0.599,104.655,4
1aD0ewRPDlWpLPBVwhQkEU,5aMmmNxw4vgpc5XC6hK0zp,Wherever You Will Go - Acoustic,Camino Palmero,The Calling,2001,198666,57,spotify:user:,1970-01-01T00:00:00Z,"neo mellow,pop rock",0.584,0.592,1,-6.426,1,0.0257,0.305,0,0.0898,0.315,112.396,4
6xGruZOHLs39ZbVccQTuPZ,3MZsBdqDrRTJihTHQrO6Dq,Glimpse of Us,Glimpse of Us,Joji,2022-06-10,233456,90,spotify:user:,1970-01-01T00:00:00Z,viral pop,0.44,0.317,8,-9.258,1,0.0531,0.891,0.00000478,0.141,0.268,169.914,3
2AvFR6pi8tjwmaqgxcXOIJ,0hEurMDQu99nJRq8pTxO14,Go Easy On Me,The Complete 2012 Performances Collection,John Mayer,2012-08-06,174920,37,spotify:user:,1970-01-01T00:00:00Z,"neo mellow,singer-songwriter",0.517,0.297,5,-9.205,1,0.0285,0.719,0.00000217,0.125,0.457,118.809,3
5GWrhVfgP4szBtCOXbSki8,0L8ExT028jH3ddEcZwqJJ5,Eddie,Eddie,Red Hot Chili Peppers,2022-09-23,341986,62,spotify:user:,1970-01-01T00:00:00Z,"alternative rock,funk metal,funk rock,permanent wave",0.515,0.809,9,-5.817,0,0.0512,0.00455,0.0723,0.0905,0.525,142.011,4
6crBy2sODw2HS53xquM6us,1XpDYCrUJnvCo9Ez6yeMWh,Tribute,Tenacious D,Tenacious D,2001-09-25,248053,67,spotify:user:,1970-01-01T00:00:00Z,"alternative metal,comedy rock,comic,comic metal,parody,rock",0.365,0.767,9,-6.185,0,0.0681,0.181,0.000856,0.0942,0.422,94.174,4
3EfTQn30P4fqXxRf9IN7x6,6sN51vEARnAAdBw1IKZ8Q9,"Wonderwall - Live from Spotify Sessions, Metropolis Studios, London",Spotify Singles,Liam Gallagher,2017-10-25,198293,54,spotify:user:,1970-01-01T00:00:00Z,"britpop,britpop revival,modern rock,rock,solo wave",0.499,0.548,2,-6.858,1,0.0296,0.118,0,0.125,0.281,87.854,4
05Ez6KwjICkscWQVTsT3f5,0hEurMDQu99nJRq8pTxO14,I Will Be Found (Lost At Sea),Paradise Valley,John Mayer,2013-08-20,241346,52,spotify:user:,1970-01-01T00:00:00Z,"neo mellow,singer-songwriter",0.563,0.401,5,-9.073,1,0.0243,0.415,0.00305,0.158,0.277,139.863,4
0xAjq4KAQdJvUyCM7fFZ9K,0L8ExT028jH3ddEcZwqJJ5,Hey,Stadium Arcadium,Red Hot Chili Peppers,2006-05-09,339533,55,spotify:user:,1970-01-01T00:00:00Z,"alternative rock,funk metal,funk rock,permanent wave",0.815,0.577,8,-6.253,1,0.0369,0.309,0.0000102,0.101,0.737,122.61,4
16DhvbuyvJob4Q9GHNYu2n,3dXaa6jwM7B52GZpaJEIr5,She Hates Me,Come Clean,Puddle Of Mudd,2001-08-28,216760,72,spotify:user:,1970-01-01T00:00:00Z,"alternative metal,alternative rock,nu metal,post-grunge,rap rock,rock",0.58,0.748,4,-5.433,1,0.0323,0.00935,0,0.753,0.584,109.781,4
6KlPOJNBz2ooo7y0GZBl2Y,"5HFf64cfog4DEijGW8E4qS,6Ow4DmnD2v4gQtqpPjR3lr,2Nrurh3cV1SfxdIzSAYjIR",Kiti Tare Tula Jadale,Kiti Tare Tula Jadale,"Shreyas Bedekar,Saleel Kulkarni,Sandeep Khare",2021-11-04,216533,7,spotify:user:,1970-01-01T00:00:00Z,"marathi pop,marathi traditional",0.607,0.268,1,-13.563,0,0.0595,0.87,0.00018,0.0834,0.367,111.926,3
0mgXOSuxdH84O2MSc1ZmrU,"6PAt558ZEZl0DmdXlnjMgD,0hEurMDQu99nJRq8pTxO14",Lies,Eric Clapton & Friends: The Breeze - An Appreciation Of JJ Cale,"Eric Clapton,John Mayer",2014-01-01,186826,44,spotify:user:,1970-01-01T00:00:00Z,"blues rock,classic rock,electric blues,rock,neo mellow,singer-songwriter",0.718,0.671,10,-8.948,1,0.03,0.0575,0.0752,0.209,0.896,86.868,4
1G391cbiT3v3Cywg8T7DM1,0L8ExT028jH3ddEcZwqJJ5,Scar Tissue,Californication (Deluxe Edition),Red Hot Chili Peppers,1999-06-08,215906,80,spotify:user:,1970-01-01T00:00:00Z,"alternative rock,funk metal,funk rock,permanent wave",0.595,0.717,0,-4.803,1,0.0295,0.0779,0.00274,0.108,0.547,88.969,4
2fq4SiCvhv8NrLnxeNa8l9,4dwdTW1Lfiq0cM8nBAqIIz,Phantom,My Head Is An Animal (10th Anniversary Edition),Of Monsters and Men,2021-10-29,282440,46,spotify:user:,1970-01-01T00:00:00Z,"folk-pop,metropopolis,modern rock,pop rock,stomp and holler",0.402,0.221,6,-17.58,1,0.0401,0.849,0.000228,0.107,0.247,78.539,4
1J4YoubtTxLuoKBzRIzHvv,3GBPw9NK25X1Wt2OUvOwY3,Taylor,On And On,Jack Johnson,2003-01-01,239280,62,spotify:user:,1970-01-01T00:00:00Z,neo mellow,0.805,0.729,0,-7.94,1,0.147,0.147,0.0422,0.104,0.569,174.189,4
239yM7BAQ2CkNc61ogPGXo,0hEurMDQu99nJRq8pTxO14,Shot in the Dark,Sob Rock,John Mayer,2021-07-16,249080,62,spotify:user:,1970-01-01T00:00:00Z,"neo mellow,singer-songwriter",0.741,0.556,2,-9.184,1,0.0266,0.0629,0.041,0.103,0.587,122.008,4
1ndGB6rvxKYN9seCYO1dTF,0L8ExT028jH3ddEcZwqJJ5,The Zephyr Song,By the Way (Deluxe Edition),Red Hot Chili Peppers,2002-07-09,231933,71,spotify:user:,1970-01-01T00:00:00Z,"alternative rock,funk metal,funk rock,permanent wave",0.725,0.803,2,-4.083,1,0.0337,0.013,0.0000366,0.0891,0.403,117.391,4
5DiXcVovI0FcY2s0icWWUu,0vEsuISMWAKNctLlUAhSZC,Mr. Jones,August And Everything After,Counting Crows,1993-01-01,272293,77,spotify:user:,1970-01-01T00:00:00Z,"alternative rock,neo mellow,pop rock,rock",0.578,0.817,0,-6.542,1,0.0363,0.183,0.00000306,0.285,0.726,141.621,4
6N4TjPeZi4S9jpayOpRX2h,"4ITkqBlf5eoVCOFwsJCnqo,56SjZARoEvag3RoKWIb16j,5gZhfbckaWo89OzDSk3gdT",Yaarr Ni Milyaa,Yaarr Ni Milyaa,"Harrdy Sandhu,B Praak,Jaani",2017-09-05,310208,61,spotify:user:,1970-01-01T00:00:00Z,"desi pop,punjabi pop",0.623,0.891,8,-3.374,1,0.0332,0.217,0,0.106,0.55,129.987,4
3Oa6G6qiAU0PyQ4qljoG5C,0hEurMDQu99nJRq8pTxO14,Speak For Me - Acoustic,The Complete 2012 Performances Collection,John Mayer,2012-08-06,185773,30,spotify:user:,1970-01-01T00:00:00Z,"neo mellow,singer-songwriter",0.579,0.292,9,-9.775,1,0.0305,0.927,0.0000973,0.127,0.39,126.181,4
5TYQonY07iJP2ULhR4ptce,0L8ExT028jH3ddEcZwqJJ5,Mellowship Slinky in B Major,Blood Sugar Sex Magik (Deluxe Edition),Red Hot Chili Peppers,1991-09-24,239960,48,spotify:user:,1970-01-01T00:00:00Z,"alternative rock,funk metal,funk rock,permanent wave",0.652,0.809,6,-11.623,0,0.0762,0.00295,0.00928,0.352,0.773,91.919,4
1wQXj5bgxyZQ2XmE2X9s6n,4gzpq5DPGxSnKTe4SA8HAU,Til Kingdom Come,X&Y,Coldplay,2005-06-07,250668,60,spotify:user:,1970-01-01T00:00:00Z,"permanent wave,pop",0.607,0.395,0,-9.593,1,0.0287,0.61,0.00768,0.33,0.274,115.068,4
5VBwLOZDyDWInNYIUniuZG,0fDF0jjmdouCIeWhNnblwV,Soothsayer (Dedicated to Aunt Suzie),Crime Slunk Scene,Buckethead,2009-03-21,544800,53,spotify:user:,1970-01-01T00:00:00Z,"funk metal,instrumental rock,neo classical metal,shred",0.23,0.766,10,-3.849,0,0.0398,0.000424,0.838,0.159,0.227,151.106,4
3EaMrRGeNLb0llMv2wylUr,0hEurMDQu99nJRq8pTxO14,Victoria - EP Version,Inside Wants Out,John Mayer,1999-09-24,227040,37,spotify:user:,1970-01-01T00:00:00Z,"neo mellow,singer-songwriter",0.682,0.264,7,-11.915,1,0.0378,0.865,0.0019,0.102,0.219,72.891,4
